130.191.6.162	spinner.sdsu.edu
130.191.6.163	dusky.sdsu.edu
130.191.6.164	orca.sdsu.edu
130.191.6.165	pilot.sdsu.edu
130.191.6.169	vaquita.sdsu.edu
130.191.6.170	bottlenose.sdsu.edu
130.191.6.171	rightwhale.sdsu.edu
130.191.7.6	surfer.sdsu.edu
130.191.8.80	frigate.sdsu.edu
130.191.9.49	mtwhitney.sdsu.edu
130.191.13.10	spaceballs.sdsu.edu
130.191.15.147	fiji.sdsu.edu
130.191.15.148	bisofr.sdsu.edu
130.191.15.149	hrtstcweb.sdsu.edu
130.191.15.150	capri.sdsu.edu
130.191.15.151	cabo.sdsu.edu
130.191.15.152	wash.sdsu.edu
130.191.15.153	hrprdcweb.sdsu.edu
130.191.15.156	kanto.sdsu.edu
130.191.15.157	biststwec.sdsu.edu
130.191.15.158	bisprdwec.sdsu.edu
130.191.15.160	voicemail.sdsu.edu
130.191.15.161	biststwfr.sdsu.edu
130.191.15.162	bisprdwfr.sdsu.edu
130.191.15.163	capture.sdsu.edu
130.191.15.165	astratest.sdsu.edu
130.191.15.167	roomschedule.sdsu.edu
130.191.15.168	sunspot.sdsu.edu
130.191.15.178	pas1.sdsu.edu
130.191.15.180	ucocloud.sdsu.edu
130.191.15.181	svm-netapp1bronze.sdsu.edu
130.191.15.182	svm-netapp2bronze.sdsu.edu
130.191.15.183	asgrad.sdsu.edu
130.191.15.184	ucotestweb.sdsu.edu
130.191.15.187	fsrequest.sdsu.edu
130.191.15.188	sdprdweb.sdsu.edu
130.191.15.189	sdrptweb.sdsu.edu
130.191.15.190	alva.sdsu.edu
130.191.15.192	pas2.sdsu.edu
130.191.15.195	kanga.sdsu.edu
130.191.15.200	sas1.sdsu.edu
130.191.15.201	sas2.sdsu.edu
130.191.15.203	das2.sdsu.edu
130.191.15.204	mediasitestream.sdsu.edu
130.191.15.205	phonebook.sdsu.edu
130.191.15.206	moonspot.sdsu.edu
