130.191.1.52	secwarn.sdsu.edu
130.191.17.79	goprint.sdsu.edu
130.191.17.41	lib-printeron1.id.sdsu.edu
130.191.49.5	gcem.sdsu.edu
130.191.35.133	eon.sdsu.edu
130.191.49.226	gcrgserver.sdsu.edu
130.191.78.2	aztecws.sdsu.edu
130.191.74.43	infoeditest.sdsu.edu
130.191.74.141	era.foundation.sdsu.edu
130.191.35.144	uon.sdsu.edu
130.191.74.134	iemm.sdsu.edu
130.191.1.53	itsoblock.sdsu.edu
130.191.54.37	monet.sdsu.edu
130.191.35.33	arconline.sdsu.edu
130.191.35.137	ion.sdsu.edu
130.191.74.140	help.foundation.sdsu.edu
130.191.35.142	xon.sdsu.edu
130.191.17.46	humanitieshubDev.sdsu.edu
130.191.17.37	archives.sdsu.edu
130.191.49.227	sdsu-ceph-01.sdsu.edu
130.191.93.70	edwards.sdsu.edu
